DESC PRODUTO;COD BARRAS;COD UNIDADE;VLR CUSTO BRUTO;VLR VENDA 1;QTD ESTOQUE;DATA ALTERACAO;FLG ATIVO;COD EMP
ABACAXI ROD MAESTRIA 400GR;7898935234149;UN;6,25;0,01;6;14/12/2016;N;1
AGUA DE COCO DUCOCO 1L;7896016608766;UND;6,55;8,99;0;12/10/2016;S;1
AGUARDENTE 51 965ML;7896002100014;UND;6,69;9,9;0;13/10/2016;S;1
AGUARDENTE BOM SUCESSO 790ML;7897736403198;UND;4,2;5,9;0;13/10/2016;S;1
AGUARDENTE CANINHA ADOCADA 450ML;7898080660459;UND;2,6;3,9;0;13/10/2016;S;1
AGUARDENTE PINGO DE OURO 890ML;7898003630163;UND;3,8;6,49;0;13/10/2016;S;1
AGUARDENTE SPEZIA PRATA 700ML;7896440402282;UND;13,4;18,45;0;13/10/2016;S;1
AGUARDENTE VELHO BARREIRO 910ML;7896050200124;UND;6,5;8,99;0;13/10/2016;S;1
AGUARDENTE YPIOCA OURO 965ML;7896383700681;UND;10,4;15,9;0;13/10/2016;S;1
AGUARDENTE YPIOCA PRATA ENVELHECIDA 965ML;7896383700698;UND;20,4;26,95;0;13/10/2016;S;1
AKLOV VODKA 880ML;7898080660190;UND;6,9;9,9;0;13/10/2016;S;1
ALCOOL COPERALCOOL 92,8% 1LT;7896090703906;UN;4,46;0,01;12;14/12/2016;N;1
ALCOOL ZULU 70% 1LT;7896090704316;UN;3,59;0,01;12;14/12/2016;N;1
AMENDOIM DORI CHOCOLATE 100GR;7896058501308;UN;0;0,01;0;16/12/2016;N;1
AMENDOIN DORI JAPONES 100GR;7896058501100;UN;1,55;2,25;0;15/12/2016;S;1
ANTARCTICA SUBZERO 350ML;7891991010023;UND;1,37;1,99;0;14/12/2016;S;1
ARROZ PARBOILIZADO TIO MINDO TP1 1KG;7898927274016;UND;2,54;3,55;0;11/10/2016;S;1
ATUM 88 RALADO OLEO 170GR;7891167031883;UN;3,39;0,01;24;14/12/2016;N;1
ATUM 88 SOLIDO OLEO 170GR;7891167031685;UN;5,45;0,01;24;14/12/2016;N;1
AZEITE OLV ANDORINHA LT 1% 500ML;5601216110023;UN;13,89;0,01;12;14/12/2016;N;1
AZEITE OLV EXT VI ANDORINHA VD 0.5%250ML;5601216120053;UN;9,79;0,01;12;14/12/2016;N;1
AZEITE OLV EXT VI ANDORINHA VD 500ML;5601216120152;UN;16,79;0,01;12;14/12/2016;N;1
AZEITONAS DOM FIORELO 200G;7898951621404;UND;2,73;3,9;0;20/10/2016;S;1
AZRITONAS HEMMER 300G;7891031116906;UND;2,49;3,49;0;20/10/2016;S;1
BALA DORI 600GR HORTELA ORIGINAL;7896058591613;UN;0;0,01;0;16/12/2016;N;1
BALA FINI TUBINHOS 12X20G ANGRY BIRDS CITRICO (12);7898519450330;UN;0;0,01;0;13/12/2016;N;1
BALA FINI TUBINHOS 12X20G MORANGO CITRICO (12)*;7898279799991;CX12;0;0,01;0;13/12/2016;N;1
BALA FINI TUBINHOS MORANGO CITRICO;7898279799823;UN;0,77;1,5;12;15/12/2016;S;1
BALA FINI TUBINHOS TUTI FRUIT 20G;7898519450279;UND;0;0,01;0;11/10/2016;N;1
BALA GOTA COLA 600GR DORI;7896058591682;UN;0;0,01;0;16/12/2016;N;1
BALAO 7 IMP. AZUL TURQUESA;7896243104352;UN;0;0,01;0;14/12/2016;N;1
BALAO 7 IMP. BRANCO POLAR;7896243104451;UN;0;0,01;0;14/12/2016;N;1
BALAO 7 IMP. ROSA TUTTI-FRUTTI;7896243104413;UN;0;0,01;0;14/12/2016;N;1
BALAO 7.0 IMPERIAL MISTO;7896243104529;UN;0;0,01;0;14/12/2016;N;1
BANHA DE PORCO ALIBEM 1KG;7898335580259;UN;5,45;0,01;5;14/12/2016;N;1
BATATA CG BINT MCCAIN 9MM 400G;7797906001769;UN;3,34;0,01;20;14/12/2016;N;1
BATATA CG EASY FRIES G.FOODS 10MM 2KG;7898945210638;UN;7,98;0,01;36;14/12/2016;N;1
BATERIA ALCALINA PANASONIC 9 VOLTS;7896067203460;UN;0;0,01;0;16/12/2016;N;1
BAVARIA PILSEN LATA 473ML;7896045503452;UND;2,06;2,65;0;14/12/2016;S;1
BELVITA LEITE 90G;7622300800550;UND;2,69;3,75;0;20/10/2016;S;1
BELVITA MEL CACAU 90G;7622300800529;UND;2,69;3,75;0;20/10/2016;S;1
BILOFF VODKA 900ML;7898003630088;UND;4,8;7,49;0;13/10/2016;S;1
BISCOITO AGUA E SAL NINFA 370G;7896111421888;UND;2,75;3,85;0;12/10/2016;S;1
BISCOITO CREAM CRACKER 370G;7896111421895;UND;2,75;3,85;0;12/10/2016;S;1
BISCOITO LEITE NINFA 370G;7896111422069;UND;2,85;3,85;0;12/10/2016;S;1
BISCOITO MAIZENA NINFA 370G;7896111422076;UND;2,64;3,85;0;12/10/2016;S;1
BISCOITO MARIA NINFA 370G;7896111422045;UND;2,64;3,85;0;12/10/2016;S;1
BOBINA 1 FOLHA PICOTADA BOMPACK 28 X42 C/500;7898416300905;UN;0;0,01;0;14/12/2016;N;1
BRAHMA CHOPP 473ML;7891149011001;UND;2,5;3,25;0;14/12/2016;S;1
BRAHMA CHOPP LATA 350ML;7891149010509;UND;1,53;2,5;0;14/12/2016;S;1
BUDWEISER LATA 350ML;7891991010481;UND;2,73;3,45;0;14/12/2016;S;1
BUDWEISER LN 343ML;7891991010832;UND;3;3,5;0;14/12/2016;S;1
C AV COXINHA ASA CG BDJ AGROVENETO 1KG;7898038214611;UN;8,54;0,01;12;14/12/2016;N;1
C AV FRANGO A PAS PC IQF NICOLINI 10X1KG;004;UN;5,99;0,01;10;14/12/2016;N;1
C AV SASSAMI CG PCT IQF MACEDO 1KG;7897408105139;UN;7,99;0,01;16;14/12/2016;N;1
C BV FILE MIGNON S/C CG FRIBOI;3;UN;38,98;58,47;16,11;15/12/2016;S;1
C BV FRALDINHA RF MATABOI;1;UN;17,99;26,98;26,91;15/12/2016;S;1
C BV MAMINHA RF COOPERFRIGU;9;UN;23,9;53,78;25,59;15/12/2016;S;1
C BV PICANHA CG LORSINAL A;2;UN;45,9;68,85;13,5;15/12/2016;S;1
CACHACA SPEZIA OURO 700ML;7896440402275;UND;13,7;18,45;0;13/10/2016;S;1
CACHACA SPEZIA OURO ENVELHECIDA 700ML;7896440402299;UND;16,5;22,45;0;13/10/2016;S;1
CACHACA YPIOCA OURO ENVELHECIDA 965ML;7896383700704;UND;24,2;32,9;0;13/10/2016;S;1
CANETA BIC CRISTAL AZUL;070330129627;UN;0;0,01;0;16/12/2016;N;1
CANUDO STRAW. SACHE 5,0MM 21CM C/100 UN;7898202613011;UN;0;0,01;0;14/12/2016;N;1
CANUDO STRAW. SACHE 8MM VERMELHO C/100 UN;7898202610584;UN;0;0,01;0;14/12/2016;N;1
CATCHUP HEINZ TRADICIONAL FP 397GR;7896102503708;UN;6,85;0,01;4;14/12/2016;N;1
CERA PASTA TRADICIONAL PROAUTO 500G;7896189221021;UND;7,14;10,9;0;12/10/2016;S;1
CERV ITAIPAVA PILSEN 300ML;7897395040604;UND;1,3;2;0;12/10/2016;S;1
CERVEJA EISENBAHN PALE LN 355ML;7898367980034;UND;3,95;5,15;0;14/12/2016;S;1
CERVEJA EISENBAHN WEISS LN 355ML;7898367980041;UND;3,95;5,15;0;14/12/2016;S;1
CERVEJA ITAIPAVA LATA 269ML;7897395040307;UND;1,21;1,55;0;14/12/2016;S;1
CERVEJA ITAIPAVA PILSEN LATA 350ML;7897395020101;UND;1,6;2,35;0;14/12/2016;S;1
CERVEJA PROIBIDA LATA 350ML;7898945987035;UND;1,79;2,49;0;14/12/2016;S;1
CHOCOLATE GRANULADO COLORIDO 150GR;7896058592139;UN;0;0,01;0;16/12/2016;S;1
CHOCOLATE GRANULADO DORI 150GR;7896058501506;UN;0;0,01;0;16/12/2016;N;1
CHOCOLATE GRANULADO MESCLADO DORI 150GR;7896058592108;UN;0;0,01;0;16/12/2016;N;1
CLUB SOCIAL ORIGINAL 160G;7622300990701;UND;2,69;3,9;0;11/10/2016;S;1
CLUB SOCIAL PRESUNTO 140G;7622210641632;UN;2,69;3,9;0;11/10/2016;S;1
COCA COLA PET 2L;7894900011517;UND;4,3;6,25;0;11/10/2016;S;1
COLHER STRAW. L.FESTA BRANCA C/50 UN;7898202616203;UN;0;0,01;0;14/12/2016;N;1
COLORAU SINHA PCT 1.05KG;7892300030619;UN;6,98;0,01;12;14/12/2016;N;1
COPO BOMPACK 200ML AZUL C/50;7898921468503;UN;0;0,01;0;14/12/2016;N;1
COPO BOMPACK 200ML ROSA C/50;7898921468510;UN;0;0,01;0;14/12/2016;N;1
COPO COPOBRAS 180ML TRANSPARENTE C/100 UN;7898921461580;UN;0;0,01;0;14/12/2016;N;1
COPO COPOBRAS 300ML TRANSPARENTE C/100 UN;7896030892684;UN;0;0,01;0;14/12/2016;N;1
COQUETEL ABACAXI SPEZIA 900ML;7896440401001;UND;8,4;11,9;0;13/10/2016;S;1
COQUETEL ALCOLICO TONTURINHA 450ML;7898080660732;UND;2,11;2,99;0;13/10/2016;S;1
COQUETEL AMENDOIN PINGO DE OURO 900ML;7898003630194;UND;4,8;6,9;0;13/10/2016;S;1
COQUETEL BANANA SPEZIA 900ML;7896440402121;UND;8,4;11,9;0;13/10/2016;S;1
COQUETEL BUTIA SPEZIA 900ML;7896440403104;UND;8,4;11,9;0;13/10/2016;S;1
COQUETEL CATUABA PINGO DE OURO 900ML;7898003631771;UND;5,2;7,49;0;13/10/2016;S;1
COQUETEL COCO PINGO DE OURO 900ML;7898003630187;UND;4,8;6,9;0;13/10/2016;S;1
COQUETEL CONQUISTADOR 890ML;7898003630026;UND;4,8;6,9;0;13/10/2016;S;1
COQUETEL LIMAOZINHO PINGO DE OURO 900ML;7898003630125;UND;4,8;6,9;0;13/10/2016;S;1
COQUETEL MARACUJA PINGO DE OURO 900ML;7898003630170;UND;4,8;6,9;0;13/10/2016;S;1
COQUETEL MEL LIMAO PINGO DE OURO 900ML;7898003630033;UND;4,8;6,9;0;13/10/2016;S;1
COQUETEL PINGO DE OURO 900ML;7898003630118;UND;4,9;6,5;0;13/10/2016;S;1
CORDA VARAL N 05 BOMPACK 10 MTS;7898416301230;UN;0;0,01;0;14/12/2016;N;1
CORDA VARAL N 10 BOMPACK 10 MTS;7898921469326;UN;0;0,01;0;14/12/2016;N;1
CREME DE BARBEAR BIC SENSETIVE;070330770126;UN;0;0,01;0;16/12/2016;S;1
CUP NOODLES CARNE 64G;7891079008010;UND;1,92;2,69;0;12/10/2016;S;1
CUP NOODLES GALINHA CAIP 64GR;7891079008034;UND;1,92;2,69;0;12/10/2016;S;1
DALLAS AZUL MACO;78934009;UND;4,57;5;0;11/10/2016;S;1
DELIKET DORI 100GR;7896058501704;UN;0;0,01;0;16/12/2016;N;1
DEVASSA LAGER LATA 473ML;7898904771729;UND;2,25;2,99;0;14/12/2016;S;1
EISENBAHN LN 355ML;7898367980010;UND;2,77;3,75;0;14/12/2016;S;1
EISENBAHN STRONG LN 355ML;7898367980898;UND;3,97;5,15;0;14/12/2016;S;1
ENERGETICO BALY PET 2L;7898080662668;UND;7,42;10,9;0;11/10/2016;S;1
ERVILHA E MILHO QUERO LT 200GR;7896102501308;UN;1,89;0,01;24;14/12/2016;N;1
ERVILHA QUERO LT 200GR;7896102501018;UN;1,23;0,01;24;14/12/2016;N;1
ESCOVA OVAL BOMPACK;7898921468671;UN;0;0,01;0;14/12/2016;N;1
ESCOVA SANITARIA BOMPACK;7898921468688;UN;0;0,01;0;14/12/2016;N;1
ESFREGAO ALKLIN TIPO SACO;7897750781166;UN;0;0,01;0;14/12/2016;N;1
ESPONJA ALKLIN DUPLA FACE C/10;7897750771778;UN;0;0,01;0;14/12/2016;N;1
ESPONJA LA DE ACO 40G;7897750779514;UN;0,88;1,35;0;14/12/2016;S;1
EXT TOM BONARE SACHE 2KG;7898905153777;UN;6,93;0,01;12;14/12/2016;N;1
EXTRATO TOMATE BONARE SACHE 340G;7898905153715;UND;1,33;1,9;0;20/10/2016;S;1
FANTA LARANJA PET 2L;7894900031515;UND;4,14;5,75;0;11/10/2016;S;1
FAR MAND ARARUNA1KG;7896431000060;UN;4,36;0,01;20;14/12/2016;N;1
FAR MILHO SINHA MEDIA 1KG;7892300026018;UN;2,1;0,01;10;14/12/2016;N;1
FIGO CALDA QOBBA LT 400GR;7898933880096;UN;7;0,01;6;14/12/2016;N;1
FILME BLUFORTE CHURRASCOFACIL 45X5 MTS;7898182803013;UN;0;0,01;0;14/12/2016;N;1
FILME PVC BLUFORTE FILMEFACIL 15MX28CM;7898182803051;UN;0;0,01;0;14/12/2016;N;1
FILME PVC BLUFORTE FILMEFACIL 30MX28CM;7898182803068;UN;0;0,01;0;14/12/2016;N;1
FONT LIFE C GAS 500ML;7898912374028;UND;0,75;2,25;0;12/10/2016;S;1
FONT LIFE S GAS 500ML;7898912374011;UND;0,58;1,99;0;12/10/2016;S;1
FORMA EMBRASTPACK N5 AZUL C/200;7899028500370;UN;0;0,01;0;14/12/2016;N;1
FORMA EMBRASTPACK N5 ROSA C/200;7899028500233;UN;0;0,01;0;14/12/2016;N;1
FOSFORO COZINHA FIAT LUX;7896007941636;UN;0;0,01;0;14/12/2016;N;1
FOSFORO EXTRA LONGO FIAT LUX;7896007941254;UN;0;0,01;0;14/12/2016;N;1
FOSFORO PINHEIRO FIAT LUX C/10;7896007912124;UN;0;0,01;0;14/12/2016;N;1
FRUITTELLA 40G DOCE DE LEITE MASTIGAVEL;7895144204482;UN;0;0,01;0;15/12/2016;N;1
FRUITTELLA 40G MORANGO MASTIGAVEL;7896262301022;UN;1,18;0,01;16;13/12/2016;S;1
FRUITTELLA 40G MORANGO MASTIGAVEL C/16 *      (24);7896262305075;CX16;0;0,01;0;13/12/2016;N;1
FRUITTELLA 40G PEPPA PIG-MILKSHAKE MORANGO;7895144294049;UN;0;0,01;0;15/12/2016;N;1
FRUITTELLA 41G BAUNILHA C/LEITE COND;7895144025117;UN;0;0,01;0;15/12/2016;N;1
FRUITTELLA 45G MORANGO C/CR.LEITE SWIRL;7895144028019;UN;0;0,01;0;15/12/2016;N;1
FRUITTELLA DOCE DE LEITE 40G;7895144294483;UN;1,17;1,75;0;15/12/2016;S;1
GARFO STRAW. L.FESTA BRANCO C/50 UN;7898202615206;UN;0;0,01;0;14/12/2016;N;1
GATORADE FRUTAS CITRICAS 500ML;7892840808013;UND;3,04;4,25;0;13/10/2016;S;1
GATORADE LARANJA PET 500ML;7892840808020;UND;3,04;4,25;0;13/10/2016;S;1
GATORADE LIMAO PET 500ML;7892840808037;UND;3,04;4,25;0;13/10/2016;S;1
GATORADE UVA PET 500ML;7892840808051;UND;3,04;4,25;0;13/10/2016;S;1
GOMETS 100GR ANEL DE FRUTAS ACIDAS;7896058505436;UN;0;0,01;0;16/12/2016;N;1
GOMETS 100GR MINHOCAS DE FRUTAS;7896058505450;UN;0;0,01;0;16/12/2016;N;1
GOMETS DORI 100GR SINO;7896058501407;UN;0;0,01;0;16/12/2016;N;1
GUARANA ANTARCTICA PET 2L;7891991001342;UND;3,83;5,75;0;12/10/2016;S;1
GUARD. LUCCA FOLHA DUPLA 22X22CM;7898905277138;UN;0;0,01;0;14/12/2016;N;1
GUARD. RIPZ FOLHA DUPLA 32X33CM;7898905277060;UN;0;0,01;0;14/12/2016;N;1
GUARDANAPO BOMPACK 22X20CM;7898921468978;UN;0;0,01;0;14/12/2016;N;1
GUARDANAPO BOMPACK 30X30CM;7898921469203;UN;0;0,01;0;14/12/2016;N;1
HALLS MELANCIA 34G;7895800308721;UND;0;1,5;0;11/10/2016;S;1
HAMB BOV CG NOVILHO NOBRE ENV 90;7898919783076;UN;0,9;0,01;60;14/12/2016;N;1
HAMB BOV CG PERDIGAO 56G;7891515605797;UN;0,66;0,01;36;14/12/2016;N;1
HAPPYDENT WHITE 13,5G ICE CHERRY;7895144059037;UN;0;0,01;0;15/12/2016;N;1
HAPPYDENT WHITE 13,5G MENTA;7895144059013;UN;0;0,01;0;15/12/2016;N;1
HEINEKEN LATA 350ML;7896045523412;UND;2,75;3,65;0;14/12/2016;S;1
HEINEKEN LN 330ML;78936683;UND;3,18;3,99;0;14/12/2016;S;1
ISQUEIRO BIC MINI CARTELA;070330631328;UN;0;0,01;0;16/12/2016;N;1
ITAIPAVA MALZ LATA 350ML;7897395020194;UND;2,22;3,15;0;14/12/2016;S;1
LACTA AMARO 150G;7622300852474;UND;5,19;6,99;0;20/10/2016;S;1
LACTA AO LEITE 150G;7622300851583;UND;5,19;6,99;0;12/10/2016;S;1
LACTA DIAMANTE NEGRO 150G;7622300851804;UND;5,19;6,99;0;20/10/2016;S;1
LACTA LAKA 150G;7622300851767;UND;5,19;6,99;0;20/10/2016;S;1
LACTA SHOT 155G;7622300851941;UND;5,19;6,99;0;20/10/2016;S;1
LAKA OREO 150G;7622300851392;UND;5,19;6,99;0;12/10/2016;S;1
LEITE AROM CHOCOLEITE 500ML;7896060506087;UN;3,55;0,01;12;14/12/2016;N;1
LEITE AROM CHOCOLEITE 850ML;7896060506063;UN;5,39;7,85;12;14/12/2016;S;1
LEITE AROM CHOCOLEITE ONE WAY 250ML;7896060506469;UN;2,41;0,01;24;14/12/2016;N;1
LEITE COCO NORDESTE VD 200ML;7898370100320;UN;1,98;0,01;24;14/12/2016;N;1
LEITE COCO NORDESTE VD 500ML;7898370100337;UN;4,65;0,01;12;14/12/2016;N;1
LEITE INTEGRAL TIROL 1L;7896256600223;UND;2,15;3,19;0;12/10/2016;S;1
LEITE SEMI DESNATADO TIROL 1L;7896256600230;UND;2,15;3,15;0;12/10/2016;S;1
LIMPA VIDRO BONSAI 500ML C GATILHO;7898922145991;UND;4,21;5,9;0;12/10/2016;S;1
LUVA BOMPACK VERNIZ AZUL G;7898921467131;UN;0;0,01;0;14/12/2016;N;1
LUVA BOMPACK VERNIZ AZUL M;7898921467124;UN;2,89;4,99;0;14/12/2016;S;1
LUVA BOMPACK VERNIZ AZUL M UN;9990000002702;UN;0;0,01;0;14/12/2016;N;1
